Disease,Medicine,Medicine_Type,Dosage_Notes,Disclaimer
Drug Reaction,Epinephrine (for anaphylaxis),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Drug Reaction,IV fluids and supportive care,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ear Drum Damage,Antibiotic ear drops (if infection),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ear Drum Damage,Oral antibiotics (if needed),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ear Drum Damage,Avoid water entry,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ear Drum Damage,"Pain relief (e.g., Acetaminophen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Ear Drum Damage,Tympanoplasty (if persistent perforation),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eczema,Topical corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eczema,Emollients/Moisturizers,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eczema,Antihistamines (for itching),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eczema,"Calcineurin inhibitors (e.g., Tacrolimus)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eczema,Phototherapy (in severe cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Esophagitis,"Proton Pump Inhibitors (e.g., Omeprazole)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Esophagitis,"H2 Blockers (e.g., Ranitidine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Esophagitis,Sucralfate,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Esophagitis,Antifungal or antiviral agents (if infectious),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Esophagitis,Dietary changes,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eustachian Tube Dysfunction (ear Disorder),Nasal decongestants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eustachian Tube Dysfunction (ear Disorder),Nasal corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eustachian Tube Dysfunction (ear Disorder),"Auto-inflation (e.g., Valsalva maneuver)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eustachian Tube Dysfunction (ear Disorder),Antihistamines,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Eustachian Tube Dysfunction (ear Disorder),Surgical placement of ear tubes (in severe cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Fungal Infection Of The Hair,Griseofulvin (oral),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Fungal Infection Of The Hair,Terbinafine (oral),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Fungal Infection Of The Hair,Ketoconazole shampoo,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Fungal Infection Of The Hair,Selenium sulfide shampoo,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Fungal Infection Of The Hair,Itraconazole,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gallstone,Ursodeoxycholic acid (in some cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gallstone,"Pain relievers (e.g., NSAIDs)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gallstone,Cholecystectomy (surgical removal),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gallstone,Antibiotics (if cholecystitis),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gallstone,Dietary modifications,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastrointestinal Hemorrhage,"IV proton pump inhibitors (e.g., Pantoprazole)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastrointestinal Hemorrhage,Endoscopic hemostasis,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastrointestinal Hemorrhage,Blood transfusion,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastrointestinal Hemorrhage,Octreotide (for variceal bleeding),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gastrointestinal Hemorrhage,"Antibiotics (e.g., Ceftriaxone) if cirrhosis present",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gout,Colchicine,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gout,"NSAIDs (e.g., Indomethacin)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gout,Allopurinol,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gout,Febuxostat,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gout,Corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gum Disease,"Antibacterial mouthwash (e.g., Chlorhexidine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gum Disease,Scaling and root planing,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gum Disease,Doxycycline,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gum Disease,Fluoride toothpaste,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Gum Disease,Surgical interventions (if severe),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Attack,Aspirin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Attack,Nitroglycerin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Attack,"Beta-blockers (e.g., Metoprolol)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Attack,ACE inhibitors,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Attack,Thrombolytics or PCI (percutaneous coronary intervention),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Failure,ACE inhibitors,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Failure,Beta-blockers,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Failure,"Loop diuretics (e.g., Furosemide)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Failure,"Aldosterone antagonists (e.g., Spironolactone)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Heart Failure,Digoxin (in some cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hemorrhoids,Topical hydrocortisone cream,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hemorrhoids,Witch hazel pads,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hemorrhoids,"Stool softeners (e.g., Docusate)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hemorrhoids,Sitz baths,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hemorrhoids,"Surgical procedures (e.g., rubber band ligation)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Herniated Disk,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Herniated Disk,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Herniated Disk,Muscle relaxants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Herniated Disk,Steroid injections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Herniated Disk,Surgical discectomy (if severe),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hiatal Hernia,Antacids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hiatal Hernia,"Proton Pump Inhibitors (e.g., Omeprazole)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hiatal Hernia,"H2 Blockers (e.g., Ranitidine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hiatal Hernia,Prokinetic agents,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hiatal Hernia,Surgery (in severe cases),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hyperemesis Gravidarum,IV fluids and electrolytes,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hyperemesis Gravidarum,Vitamin B6 (Pyridoxine),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hyperemesis Gravidarum,"Antiemetics (e.g., Ondansetron, Promethazine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hyperemesis Gravidarum,Thiamine supplementation,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hyperemesis Gravidarum,"Nutritional support (e.g., TPN if severe)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypertensive Heart Disease,"ACE inhibitors (e.g., Lisinopril)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypertensive Heart Disease,"Beta-blockers (e.g., Metoprolol)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypertensive Heart Disease,"Diuretics (e.g., Furosemide)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypertensive Heart Disease,"Calcium channel blockers (e.g., Amlodipine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypertensive Heart Disease,Lifestyle modification,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypoglycemia,Glucose tablets,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypoglycemia,Juice or sugary snacks,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypoglycemia,Glucagon injection (emergency),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypoglycemia,Adjust insulin or diabetes medication,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Hypoglycemia,Frequent meals,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Excessive Menstruation,Tranexamic acid,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Excessive Menstruation,"NSAIDs (e.g., Mefenamic acid)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Excessive Menstruation,Oral contraceptives,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Excessive Menstruation,Levonorgestrel-releasing IUD,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Excessive Menstruation,Iron supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Irregular Menstrual Cycle,Combined oral contraceptives,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Irregular Menstrual Cycle,Progestins,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Irregular Menstrual Cycle,Metformin (if PCOS-related),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Irregular Menstrual Cycle,Lifestyle modification,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Irregular Menstrual Cycle,Clomiphene (for ovulation induction),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Painful Menstruation,"NSAIDs (e.g., Ibuprofen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Painful Menstruation,Oral contraceptives,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Painful Menstruation,Heat therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Painful Menstruation,Vitamin B1 and magnesium supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Idiopathic Painful Menstruation,Physical activity,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Infectious Gastroenteritis,Oral rehydration salts (ORS),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Infectious Gastroenteritis,"Antibiotics (e.g., Ciprofloxacin, if bacterial)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Infectious Gastroenteritis,"Antiemetics (e.g., Ondansetron)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Infectious Gastroenteritis,Probiotics,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Infectious Gastroenteritis,Loperamide (if appropriate),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Arm,"Pain relievers (e.g., Acetaminophen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Arm,Cold compress,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Arm,Immobilization/splinting,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Arm,Antibiotics (if open wound),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Arm,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Leg,Pain relievers,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Leg,Compression bandages,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Leg,Crutches or brace,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Leg,Physical therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Leg,Antibiotics (if open wound),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Trunk,"Pain relievers (e.g., Ibuprofen)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Trunk,Ice/heat therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Trunk,Muscle relaxants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Trunk,Wound care (if external),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Injury To The Trunk,Physiotherapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Liver Disease,Lactulose (for hepatic encephalopathy),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Liver Disease,"Diuretics (e.g., Spironolactone)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Liver Disease,Vitamin K (if coagulopathy),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Liver Disease,Ursodeoxycholic acid,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Liver Disease,"Antivirals (e.g., Tenofovir for HBV)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Macular Degeneration,"Anti-VEGF injections (e.g., Ranibizumab, Aflibercept)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Macular Degeneration,AREDS2 vitamin supplements,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Macular Degeneration,Photodynamic therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Macular Degeneration,Laser therapy (rarely),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Macular Degeneration,Low vision aids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Marijuana Abuse,Behavioral therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Marijuana Abuse,CBT,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Marijuana Abuse,Motivational enhancement therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Marijuana Abuse,No FDA-approved medications,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Marijuana Abuse,"Support groups (e.g., NA)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Multiple Sclerosis,Interferon beta,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Multiple Sclerosis,Glatiramer acetate,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Multiple Sclerosis,Natalizumab,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Multiple Sclerosis,Corticosteroids (for flare-ups),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Multiple Sclerosis,"Disease-modifying therapies (e.g., Fingolimod)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Noninfectious Gastroenteritis,"Antiemetics (e.g., Ondansetron)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Noninfectious Gastroenteritis,"Antispasmodics (e.g., Dicyclomine)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Noninfectious Gastroenteritis,Probiotics,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Noninfectious Gastroenteritis,Hydration therapy,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Noninfectious Gastroenteritis,Dietary changes (BRAT diet),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Nose Disorder,"Nasal decongestants (e.g., Oxymetazoline)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Nose Disorder,Antihistamines,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Nose Disorder,Saline nasal spray,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Nose Disorder,Intranasal corticosteroids,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Nose Disorder,Antibiotics (if bacterial infection),Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obstructive Sleep Apnea (osa),CPAP (Continuous Positive Airway Pressure),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obstructive Sleep Apnea (osa),Weight loss,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obstructive Sleep Apnea (osa),Mandibular advancement device,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obstructive Sleep Apnea (osa),Modafinil (for residual sleepiness),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Obstructive Sleep Apnea (osa),"Surgery (e.g., UPPP, if indicated)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Externa (swimmers Ear),"Topical antibiotic ear drops (e.g., Ciprofloxacin + Hydrocortisone)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Externa (swimmers Ear),"Acidifying drops (e.g., Acetic acid)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Externa (swimmers Ear),Analgesics,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Externa (swimmers Ear),Ear wick for deep infections,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Externa (swimmers Ear),Avoid water exposure,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Media,Amoxicillin,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Media,Cefdinir,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Media,Acetaminophen for pain,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Media,Decongestants,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Otitis Media,Tympanostomy (if recurrent),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pain After An Operation,Acetaminophen,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pain After An Operation,"Opioids (e.g., Morphine, Tramadol)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pain After An Operation,NSAIDs,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pain After An Operation,Local anesthetics,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pain After An Operation,Nerve blocks,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Panic Disorder,"SSRIs (e.g., Sertraline, Fluoxetine)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Panic Disorder,"Benzodiazepines (e.g., Clonazepam, Alprazolam)",General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Panic Disorder,"SNRIs (e.g., Venlafaxine)",Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Panic Disorder,Beta-blockers,Prescription,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Panic Disorder,Cognitive Behavioral Therapy (CBT),General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pelvic Inflammatory Disease,Ceftriaxone + Doxycycline + Metronidazole,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
Pelvic Inflammatory Disease,Pain relievers,General,Requires Clinical Validation - dosage must be determined by a licensed physician,For reference only. Not medical advice. Consult a licensed physician before use.
