Disease_ID,Disease_Name,Description,Symptoms,Symptom_Count,Disease_Category,Severity,Emergency_Flag,Risk_Level,Department,Medications,Diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Workouts,Source_Datasets,Clinical_Validation_Status,disease_norm,Severity_Score,Risk_Score
DIS000031,Common Cold,"The common cold is a viral infection of the upper respiratory tract, typically causing sneezing, sore throat, nasal congestion, cough, and mild fever.",chills; coryza; cough; ear pain; fever; flu-like syndrome; headache; nasal congestion; pleuritic chest pain; productive cough; runny nose; sore throat; vomiting; wheezing,14,Infectious Disease,Mild,0,Low,General Medicine / Infectious Disease,"Paracetamol; Ibuprofen; Decongestants (e.g., Pseudoephedrine); Antihistamines; Cough syrups (e.g., Dextromethorphan)","Hydration (water, herbal teas); Vitamin C-rich foods (citrus, kiwi); Zinc-rich foods (nuts, seeds); Chicken soup; Avoid dairy if mucus increases",Drink plenty of fluids,Rest well,Use nasal decongestants,Practice good hygiene,Rest: Essential during acute phase; Gentle yoga: After fever subsides; Walking: Once energy returns; Breathing exercises: Open airways,"A,B,C",Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),common cold,1,1
DIS000032,Complex Regional Pain Syndrome,"Complex regional pain syndrome (CRPS) is a chronic pain condition usually affecting a limb after injury, with symptoms including burning pain, swelling, and sensitivity to touch.",abnormal involuntary movements; ache all over; arm pain; back pain; foot or toe pain; hand or finger pain; leg pain; loss of sensation; low back pain; neck pain; paresthesia; problems with movement,12,General / Unclassified,Mild,0,Low,General Medicine,Gabapentin; Amitriptyline; Physical therapy; Corticosteroids; Nerve blocks,"Anti-inflammatory foods (turmeric, berries, leafy greens); Omega-3 fatty acids (salmon, walnuts); Magnesium-rich foods (spinach, almonds); Vitamin D-rich foods (fortified milk, egg yolks); Avoid processed sugars and alcohol",Follow physical therapy,Manage stress,Take prescribed medication,Avoid injury to the affected limb,Gentle stretching: Prevent contractures; Desensitization exercises: Rebuild nerve tolerance; Mirror therapy: Improve brain-muscle coordination; Aqua therapy: Low-pain water exercises,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),complex regional pain syndrome,1,1
DIS000033,Concussion,"A concussion is a mild traumatic brain injury caused by a blow to the head or body, resulting in temporary loss of brain function, such as confusion, memory loss, or dizziness.",back pain; difficulty speaking; disturbance of memory; dizziness; double vision; facial pain; headache; nausea; neck pain; rib pain; sleepiness; vomiting,12,Neurological,Mild,0,Low,Neurology,Rest; Acetaminophen (avoid NSAIDs early); Cognitive rest; Hydration; Gradual return to activities,"Omega-3 fatty acids (chia seeds, salmon); Antioxidant-rich foods (blueberries, dark chocolate); Protein-rich foods (eggs, chicken); Hydration; B vitamins (whole grains, leafy greens)",Rest and avoid screens,Avoid physical activity,Monitor symptoms,Follow up with neurologist,Rest: Most important early step; Gentle stretching: After symptoms improve; Walking: Light activity to reintroduce movement; Avoid screens and bright lights: Limit visual strain,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),concussion,1,1
DIS000034,Conjunctivitis,"Conjunctivitis (pink eye) is inflammation of the conjunctiva of the eye due to infection or allergy, resulting in redness, discharge, and eye irritation.",coryza; cough; eye redness; fever; itchiness of eye; lacrimation; nasal congestion; pain in eye; sore throat; swollen eye; white discharge from eye,11,Eye,Mild,0,Low,Ophthalmology,"Antibiotic eye drops (e.g., Erythromycin, Moxifloxacin); Antiviral drops (e.g., Ganciclovir for herpes); Lubricant drops; Antihistamines (for allergic type); Cool compresses","Vitamin A-rich foods (carrots, spinach); Zinc-rich foods (pumpkin seeds); Hydration; Probiotics (yogurt); Avoid dairy if allergic",Use prescribed eye drops,Avoid touching/rubbing eyes,Wash hands frequently,Don’t share towels,Avoid water sports: Prevent further irritation; Gentle indoor walking: Prevent eye strain; Do not share gym equipment; Clean face after workouts,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),conjunctivitis,1,1
DIS000035,Conjunctivitis Due To Allergy,"Allergic conjunctivitis is inflammation of the conjunctiva (eye lining) caused by allergens like pollen or dust, leading to red, itchy, watery eyes without infectious discharge.",allergic reaction; cough; diminished vision; eye burns or stings; eye redness; itchiness of eye; lacrimation; nasal congestion; pain in eye; sneezing; swollen eye; symptoms of eye,12,Eye,Mild,0,Low,Ophthalmology,"Antihistamine eye drops (e.g., Olopatadine); Mast cell stabilizers (e.g., Ketotifen); Artificial tears; Oral antihistamines; Cold compress","Antihistamine-rich foods (quercetin in apples, onions); Omega-3 fatty acids (salmon, flaxseeds); Vitamin C-rich foods (citrus); Hydration; Avoid allergens",Avoid rubbing eyes,Use antihistamine drops,Keep environment clean,Avoid known allergens,Indoor exercises: Avoid allergens like pollen; Gentle yoga: Avoid face touching; Stretching: Avoid eye strain; Avoid swimming: Prevent eye irritation,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),conjunctivitis due to allergy,1,1
DIS000036,Contact Dermatitis,"Contact dermatitis is a skin inflammation caused by exposure to an irritant or allergen, resulting in redness, itching, blisters, or dryness.","abnormal appearing skin; acne or pimples; allergic reaction; itching of skin; skin dryness, peeling, scaliness, or roughness; skin irritation; skin lesion; skin moles; skin rash; skin swelling; swollen eye",11,Dermatological,Mild,0,Low,Dermatology,"Topical corticosteroids (e.g., Hydrocortisone); Oral antihistamines; Moisturizers; Avoidance of allergen/irritant; Oral corticosteroids (if severe)","Avoid allergenic foods; Anti-inflammatory foods (turmeric, ginger); Hydrating fluids; Vitamin E-rich foods (nuts, seeds); Probiotics (fermented foods)",Identify and avoid allergen,Use fragrance-free products,Apply soothing lotion,Wear gloves when needed,Avoid sweating heavily: Can irritate skin; Indoor stretching: Cool and dry; Use breathable clothing: During workouts; Clean skin after exercise: Prevent flare-ups,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),contact dermatitis,1,1
DIS000037,Copd,Requires Clinical Validation,insomnia; polyphagia,2,Respiratory,Severe,0,High,Pulmonology,Requires Clinical Validation,Requires Clinical Validation,Avoid smoking,Use inhalers as prescribed,Stay away from air pollution,Get vaccinated against flu,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),copd,3,3
DIS000038,Cornea Infection,"Cornea infection (keratitis) is an infection of the transparent front part of the eye, usually caused by bacteria, fungi, or viruses, leading to eye pain, redness, blurred vision, and light sensitivity.",diminished vision; eye burns or stings; eye redness; foreign body sensation in eye; itchiness of eye; lacrimation; lip swelling; pain in eye; spots or clouds in vision; swollen eye; symptoms of eye,11,Eye,Mild,0,Low,Ophthalmology,"Antibiotic eye drops (e.g., Ciprofloxacin); Antiviral eye drops (e.g., Ganciclovir); Antifungal drops (e.g., Natamycin); Lubricant eye drops; Steroids (in selected cases)","Vitamin A-rich foods (carrots, sweet potatoes, spinach); Zinc-rich foods (pumpkin seeds, beef); Hydration (water); Avoid alcohol and smoking; Omega-3-rich foods (flaxseed, salmon)",Avoid touching eyes,Use prescribed eye drops,Wear sunglasses,Don’t share towels or cosmetics,Rest the eyes: Avoid screen-heavy workouts; Gentle walking: Safe and non-straining; Indoor stretching: Limits light exposure; Avoid swimming: Prevent waterborne pathogens,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),cornea infection,1,1
DIS000039,Coronary Artery Disease,Requires Clinical Validation,,0,Cardiovascular,Mild,0,Low,Cardiology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),coronary artery disease,1,1
DIS000040,Covid-19,Requires Clinical Validation,,0,Infectious Disease,Mild,0,Low,General Medicine / Infectious Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,B,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),covid-19,1,1
DIS000041,Covid19,Requires Clinical Validation,hematemesis,1,Infectious Disease,Mild,0,Low,General Medicine / Infectious Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),covid19,1,1
DIS000042,Crohn Disease,Requires Clinical Validation,bone pain; chest tightness; constipation; enthesitis; frequent nosebleeds; headache; hemoptysis; joint swelling; leg swelling; limp; low back pain; morning stiffness; muscle weakness msk; neck pain; paresthesia; pleuritic chest pain; prolonged bleeding; reduced range of motion; resting tachycardia; sinus pain; spine rigidity; tendon tenderness,22,Digestive,Moderate,0,Medium,Gastroenterology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),crohn disease,2,2
DIS000043,Croup,"Croup is a viral infection that causes swelling of the airway in young children, leading to a barking cough, hoarseness, and difficulty breathing, often worse at night.",abnormal breathing sounds; coryza; cough; fever; hoarse voice; nasal congestion; pulling at ears; shortness of breath; sore throat; vomiting; wheezing,11,General / Unclassified,Severe,1,High,General Medicine,Dexamethasone (oral or IM); Nebulized epinephrine; Humidified air; Antipyretics; Hydration,"Hydration; Humidified air; Vitamin C-rich foods (oranges, strawberries); Avoid dairy if mucus worsens; Soft, easy to swallow foods (soups, smoothies)",Use humidified air,Keep child calm,Encourage fluid intake,Seek medical help for breathing difficulty,Rest: Until breathing improves; Steam inhalation: Open airways; Avoid exertion: May worsen symptoms; Gentle play: Indoors and calm once recovering,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),croup,3,3
DIS000044,Cystic Fibrosis,Requires Clinical Validation,digital clubbing,1,Respiratory,Mild,0,Low,Pulmonology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),cystic fibrosis,1,1
DIS000045,Cystitis,"Cystitis is inflammation of the bladder, usually from a bacterial infection, leading to frequent, painful urination and lower abdominal discomfort.",back pain; blood in urine; frequent urination; involuntary urination; lower abdominal pain; painful urination; pelvic pain; retention of urine; sharp abdominal pain; side pain; suprapubic pain; symptoms of bladder,12,Renal & Urinary,Mild,0,Low,Nephrology / Urology,Nitrofurantoin; Trimethoprim-sulfamethoxazole; Fosfomycin; Phenazopyridine (for pain relief); Hydration,"Hydration (water, cranberry juice); Avoid caffeine and alcohol; Vitamin C-rich foods (oranges, strawberries); Probiotics (yogurt, kefir); Avoid spicy and acidic foods",Drink cranberry juice or water,Urinate frequently,Avoid irritants like caffeine,Wipe front to back,Walking: Safe and bladder-friendly; Hydration focus: Before and after; Pelvic floor exercises: Improve control; Avoid workouts that cause dehydration,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),cystitis,1,1
DIS000046,Degenerative Disc Disease,"Degenerative disc disease is a condition where spinal discs break down over time, leading to back pain, reduced flexibility, and sometimes nerve compression.",arm pain; back pain; hip pain; joint pain; leg pain; loss of sensation; low back pain; lower body pain; neck pain; paresthesia; shoulder pain,11,General / Unclassified,Mild,0,Low,General Medicine,"NSAIDs; Physical therapy; Muscle relaxants; Steroid injections; Surgery (e.g., spinal fusion in advanced cases)","Calcium-rich foods (milk, cheese); Vitamin D-rich foods (fatty fish, egg yolk); Anti-inflammatory foods (berries, leafy greens); Magnesium sources (pumpkin seeds, almonds); Protein-rich foods (chicken, legumes)",Maintain healthy weight,Avoid lifting heavy items,Engage in back exercises,Use lumbar support,Back stretches: Increase flexibility; Core strengthening: Reduce spinal pressure; Low-impact aerobics: Walking or elliptical; Avoid heavy lifting: Prevent worsening symptoms,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),degenerative disc disease,1,1
DIS000047,Dementia,Requires Clinical Validation,,0,Neurological,Mild,0,Low,Neurology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,B,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),dementia,1,1
DIS000048,Dengue,Requires Clinical Validation,abdominal bloating; abdominal pain; ataxia; bitter regurgitation; confusion; constipation; dark stools; diarrhea; dizziness; double vision; dry cough; dysphagia; early satiety; facial droop; facial puffiness; fever; focal weakness; gait instability; gi bleeding; headache; heartburn; hematemesis; jaundice; loss of appetite; melena; memory loss; migraine; muscle weakness; nasal congestion; nausea; night sweats heme; numbness; orthopnea; palpitations; paresthesia; peripheral edema; phonophobia; photophobia; polydipsia; polyuria; productive cough; runny nose; seizures; sinus pain; spasticity; speech difficulty; splenomegaly; tingling; tremor; vertigo; vision blur; weight gain; weight loss unintentional,53,Infectious Disease,Mild,0,Low,General Medicine / Infectious Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),dengue,1,1
DIS000049,Dental Caries,"Dental caries (tooth decay) is the destruction of tooth enamel due to acids produced by bacteria feeding on sugars, leading to cavities, tooth pain, and infection if untreated.",ear pain; facial pain; gum pain; jaw swelling; mouth pain; neck swelling; pain in gums; peripheral edema; restlessness; skin irritation; skin swelling; toothache,12,Dental,Mild,0,Low,Dentistry,Fluoride toothpaste or gel; Dental fillings; Chlorhexidine mouth rinse; Analgesics for pain; Root canal therapy (if advanced),"Calcium-rich foods (milk, cheese); Vitamin D-rich foods (fatty fish, fortified cereals); Limit sugary and sticky foods; Crunchy fruits and vegetables (apples, carrots); Green tea",Brush twice daily,Limit sugar intake,Visit dentist regularly,Floss daily,Hydration focus: Water during exercise to reduce acid; Avoid sugary drinks: During workouts; Regular workouts: Support overall oral health; No intense jaw activities: Prevent further damage,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),dental caries,1,1
DIS000050,Depression,"Depression is a mental health disorder characterized by persistent sadness, loss of interest or pleasure, fatigue, and changes in sleep or appetite, significantly impacting daily life.",abusing alcohol; anxiety and nervousness; arthralgia; cold intolerance; delusions or hallucinations; depression; depressive or psychotic symptoms; disturbance of memory; drug abuse; excessive anger; facial puffiness; fatigue; hair loss; hostile behavior; hot flashes; insomnia; muscle cramps; myalgia; polydipsia; polyphagia; polyuria; temper problems,22,Mental Health,Mild,0,Low,Psychiatry,"SSRIs (e.g., Sertraline, Escitalopram); SNRIs (e.g., Venlafaxine); Atypical antidepressants (e.g., Bupropion); Cognitive Behavioral Therapy (CBT); Psychotherapy","Omega-3 fatty acids (salmon, walnuts); Vitamin D-rich foods (egg yolk, fortified cereals); Complex carbs (whole grains, legumes); Folate-rich foods (leafy greens, beans); Limit processed sugars and caffeine",Maintain social connection,Follow treatment plan,Get regular exercise,Avoid alcohol and drugs,Aerobic exercise: Boosts mood via endorphins; Yoga: Mind-body balance; Group activities: Enhance motivation; Walking in nature: Proven to reduce symptoms,"A,B,C",Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),depression,1,1
DIS000051,Dermatitis,Requires Clinical Validation,,0,Dermatological,Mild,0,Low,Dermatology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,B,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),dermatitis,1,1
DIS000052,Developmental Disability,"Developmental disabilities are chronic conditions that begin in childhood and affect physical, learning, language, or behavioral areas, such as autism or intellectual disability.",antisocial behavior; delusions or hallucinations; depressive or psychotic symptoms; difficulty speaking; fears and phobias; hostile behavior; lack of growth; obsessions and compulsions; restlessness; seizures; temper problems,11,Mental Health,Mild,0,Low,Psychiatry,"Speech therapy; Occupational therapy; Behavioral therapy; Medications (e.g., Risperidone for irritability in autism); Special education programs","Balanced, nutrient-dense diet; Omega-3 fatty acids (fish, flaxseeds); B vitamins (whole grains, meat); Fiber-rich foods; Limit sugar and artificial additives",Follow individualized education plans,Encourage structured routine,Regular therapy,Provide positive reinforcement,Occupational therapy-integrated activities; Swimming: Enhances motor coordination; Group play or structured fitness; Balance and core work: Tailored to individual ability,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),developmental disability,1,1
DIS000053,Diabetes,Requires Clinical Validation,,0,Metabolic & Endocrine,Moderate,0,Medium,Endocrinology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,"B,D",Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),diabetes,2,2
DIS000054,Diaper Rash,"Diaper rash is skin irritation in the diaper area of infants or adults using diapers, often caused by moisture, friction, or infection.",blood in stool; cough; diaper rash; diarrhea; fever; irritable infant; nasal congestion; pulling at ears; skin rash; temper problems; vomiting,11,Dermatological,Mild,0,Low,Dermatology,"Zinc oxide cream; Petroleum jelly; Topical antifungals (e.g., Clotrimazole); Hydrocortisone cream (short-term); Frequent diaper changes","Breastfeeding (for infants); For older babies: Avoid acidic foods (tomatoes, citrus); Probiotics (yogurt); Zinc-rich foods (eggs, meat); Hydration",Keep area dry,Change diapers frequently,Apply protective creams,Avoid scented products,Not exercise-relevant: Focus on hygiene; Avoid heat and sweat buildup; Let skin breathe; Gentle motion in open diapers (for infants),C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),diaper rash,1,1
DIS000055,Diverticulitis,"Diverticulitis is inflammation or infection of small pouches (diverticula) in the colon wall, leading to abdominal pain, fever, and changes in bowel habits.",blood in stool; burning abdominal pain; chills; constipation; diarrhea; fever; lower abdominal pain; nausea; sharp abdominal pain; side pain; upper abdominal pain; vomiting,12,Digestive,Mild,0,Low,Gastroenterology,"Antibiotics (e.g., Ciprofloxacin + Metronidazole); Clear liquid diet (during flare); Pain relievers; High-fiber diet (after recovery); Surgery (if complications)","Low-fiber diet during flare-up (white bread, white rice); Hydration; Gradual increase to high-fiber diet (fruits, vegetables, whole grains); Avoid nuts and seeds during flare-ups; Probiotics",Eat low-fiber during flare-ups,Stay hydrated,Take antibiotics if prescribed,Avoid seeds/nuts if advised,Rest: During acute phase; Walking: Light and easy on digestion; Avoid heavy weights: Prevent abdominal strain; Hydration support during and after workouts,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),diverticulitis,1,1
DIS000056,Drug Reaction,"A drug reaction is an adverse response to a medication, ranging from mild rashes or stomach upset to severe allergic responses like Stevens-Johnson syndrome or anaphylaxis.",abnormal appearing skin; allergic reaction; dizziness; headache; itching of skin; nausea; peripheral edema; shortness of breath; skin rash; throat swelling; vomiting,11,General / Unclassified,Mild,0,Low,General Medicine,"Discontinuation of offending drug; Antihistamines (e.g., Diphenhydramine); Corticosteroids; Epinephrine (for anaphylaxis); IV fluids and supportive care","Balanced diet with antioxidants (berries, leafy greens); Hydration; Avoid processed and allergenic foods; Vitamin C and E-rich foods (nuts, seeds, citrus); Consult doctor for specific restrictions",Stop the drug immediately,Consult a doctor,Use antihistamines if prescribed,Monitor for worsening symptoms,Rest: While recovering from adverse reactions; Low-intensity movement: Once stabilized; Breathing exercises: Calm stress responses; Avoid sun exposure: If on photosensitive medications,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),drug reaction,1,1
DIS000057,Ear Drum Damage,"Ear drum damage (tympanic membrane perforation) is a tear or hole in the eardrum due to infection, injury, or loud noise, which may cause pain, hearing loss, or drainage.",bleeding from ear; cough; diminished hearing; ear pain; fluid in ear; nasal congestion; plugged feeling in ear; pulling at ears; pus draining from ear; redness in ear; ringing in ear,11,"Ear, Nose & Throat",Mild,0,Low,ENT (Otolaryngology),"Antibiotic ear drops (if infection); Oral antibiotics (if needed); Avoid water entry; Pain relief (e.g., Acetaminophen); Tympanoplasty (if persistent perforation)","Protein-rich foods (lean meats, eggs); Vitamin C-rich foods (citrus, broccoli); Zinc-rich foods (shellfish, pumpkin seeds); Hydration; Avoid irritants",Avoid water entry into ear,Don’t insert objects into ear,Use ear drops as prescribed,Follow up with ENT,Avoid swimming and underwater sports; Walking: Safe and low-impact; Stretching: Avoid head-down positions; Protect ears from loud music/explosive sports,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),ear drum damage,1,1
DIS000058,Eczema,"Eczema (atopic dermatitis) is a chronic skin condition that causes itchy, inflamed, red, and dry skin, often triggered by allergens, stress, or irritants.","abnormal appearing skin; acne or pimples; allergic reaction; cough; irregular appearing scalp; itching of skin; skin dryness, peeling, scaliness, or roughness; skin irritation; skin lesion; skin rash; skin swelling; warts",12,Dermatological,Mild,0,Low,Dermatology,"Topical corticosteroids; Emollients/Moisturizers; Antihistamines (for itching); Calcineurin inhibitors (e.g., Tacrolimus); Phototherapy (in severe cases)","Anti-inflammatory foods (turmeric, blueberries); Omega-3 fatty acids (salmon, chia seeds); Avoid allergenic foods (dairy, gluten); Probiotics; Vitamin D (eggs, mushrooms)",Moisturize regularly,Avoid irritants like soaps & wool,Use corticosteroid creams,Reduce stress,"Avoid sweat-heavy routines; Indoor walking or light yoga; Cool, breathable workout clothing; Shower promptly after exercise",C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),eczema,1,1
DIS000059,Ehlers Danlos Syndrome,Requires Clinical Validation,facial droop; facial puffiness; hyperextensible skin; loss of taste,4,General / Unclassified,Mild,0,Low,General Medicine,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),ehlers danlos syndrome,1,1
DIS000060,Epilepsy,Requires Clinical Validation,anxiety; arthralgia; bradycardia; chest pain; chest tightness; chills; clammy skin; claudication; cold extremities; cold intolerance; cyanosis; exercise intolerance; exertional chest pain; facial puffiness; fatigue; fatigue on exertion; fever; hair loss; heat intolerance; hemoptysis; hot flashes; joint pain; leg swelling; loss of taste; muscle cramps; myalgia; night sweats; orthopnea; palpitations; paroxysmal nocturnal dyspnea; peripheral edema; photosensitivity; polydipsia; polyphagia; polyuria; resting tachycardia; syncope; unintentional weight loss; wheezing,39,Neurological,Moderate,0,Medium,Neurology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,"A,B",Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),epilepsy,2,2
DIS000061,Esophagitis,"Esophagitis is inflammation of the esophagus, commonly due to acid reflux, infections, or medications, causing pain when swallowing and chest discomfort.",burning abdominal pain; chest tightness; cough; difficulty in swallowing; heartburn; nausea; sharp abdominal pain; sharp chest pain; shortness of breath; sore throat; upper abdominal pain; vomiting,12,Digestive,Mild,0,Low,Gastroenterology,"Proton Pump Inhibitors (e.g., Omeprazole); H2 Blockers (e.g., Ranitidine); Sucralfate; Antifungal or antiviral agents (if infectious); Dietary changes","Soft, bland diet (bananas, applesauce, oatmeal); Avoid spicy, acidic, and fatty foods; Small frequent meals; Hydration; Avoid caffeine and alcohol",Avoid spicy & acidic food,Eat smaller meals,Sit upright after eating,Follow prescribed medication,Avoid high-impact workouts post meals; Walking: Gentle digestive aid; Breathing exercises: Ease reflux; No crunches or abdominal pressure,C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),esophagitis,1,1
DIS000062,Eustachian Tube Dysfunction (ear Disorder),"Eustachian tube dysfunction occurs when the tube connecting the middle ear to the throat becomes blocked or fails to open, causing pressure, pain, or hearing issues.",abnormal breathing sounds; allergic reaction; diminished hearing; dizziness; ear pain; nasal congestion; plugged feeling in ear; redness in ear; ringing in ear; sore throat; swollen or red tonsils,11,"Ear, Nose & Throat",Mild,0,Low,ENT (Otolaryngology),"Nasal decongestants; Nasal corticosteroids; Auto-inflation (e.g., Valsalva maneuver); Antihistamines; Surgical placement of ear tubes (in severe cases)","Anti-inflammatory foods (berries, leafy greens); Vitamin C-rich foods (oranges, peppers); Hydration; Avoid dairy if congestion worsens; Probiotics (yogurt)",Avoid flying with a cold,Use decongestants,Perform Valsalva maneuver,Stay hydrated,"Avoid pressure changes: No underwater or flying sports; Breathing and jaw exercises: Promote drainage; Gentle yoga: Avoid headstand poses; Walking: Comfortable, low pressure",C,Requires Clinical Validation (Department/Severity/Risk/Emergency derived via rule-based keyword classifier; Description/Diet/Medication/Precautions/Workout sourced from reference dataset),eustachian tube dysfunction (ear disorder),1,1
DIS000063,Fanconi Anemia,Requires Clinical Validation,bone marrow failure; cough; headache; loss of smell; low back pain; pancytopenia; rash psoriasiform; reduced range of motion; sinus pain; sore throat; speech difficulty; weight loss unintentional,12,Blood Disorders,Severe,0,High,Hematology,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),fanconi anemia,3,3
DIS000064,Flu,Requires Clinical Validation,arthralgia; chills; cold extremities; cold intolerance; fatigue; fever; heat intolerance; joint pain; myalgia; night sweats; photosensitivity; polydipsia; polyphagia; polyuria; unintentional weight loss,15,Infectious Disease,Mild,0,Low,General Medicine / Infectious Disease,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,A,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),flu,1,1
DIS000065,Food Poisoning,Requires Clinical Validation,,0,General / Unclassified,Mild,0,Low,General Medicine,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,Requires Clinical Validation,B,Requires Clinical Validation (no authoritative source; Department/Severity/Risk/Emergency derived via rule-based keyword classifier),food poisoning,1,1
